date,GP,OP_US,EX_US,CPI_US,INFR_US,IGR_US,IR_US,PSI,VIX,total_S,total_D,Dummy
2003/1/1,368,95.0331,1.3765,83.3274,2.5974,2.8068,1.19,-0.0684,27.4243,878,743,0
2003/2/1,347,95.844,1.3709,83.9694,2.9809,2.8068,1.19,-0.0684,32.2184,878,743,0
2003/3/1,335,96.8246,1.3738,84.4739,3.0201,2.8068,1.14,-0.0684,30.6343,878,743,0
2003/4/1,337,95.6732,1.3839,84.2905,2.2247,2.8068,1.15,-0.0684,23.9919,902,844,0
2003/5/1,361,94.0414,1.42,84.1529,2.0578,2.8068,1.09,-0.0684,20.2395,902,844,0
2003/6/1,346,94.1759,1.4009,84.2446,2.1123,2.8068,0.9,-0.0684,20.3624,902,844,0
2003/7/1,355,92.4207,1.3919,84.3363,2.1099,2.8068,0.9,-0.0684,19.1614,1071,821,0
2003/8/1,376,94.1924,1.3773,84.6573,2.1583,2.8068,0.96,-0.0684,19.2743,1071,821,0
2003/9/1,388,94.3569,1.4161,84.9325,2.3204,2.8068,0.95,-0.0684,19.5324,1071,821,0
2003/10/1,386,94.6664,1.4318,84.8408,2.0408,2.8068,0.94,-0.0684,18.0235,994,821,0
2003/11/1,398,93.749,1.4488,84.6115,1.765,2.8068,0.95,-0.0684,17.4011,994,821,0
2003/12/1,416,93.363,1.486,84.5198,1.8795,2.8068,0.9,-0.0684,16.8264,994,821,0
2004/1/1,400,93.8035,1.4813,84.9325,1.9263,3.7857,0.91,-0.1262,16.101,861,803,0
2004/2/1,396,93.1596,1.4801,85.3911,1.6931,3.7857,0.94,-0.1262,15.9984,861,803,0
2004/3/1,424,94.4328,1.4805,85.9414,1.7372,3.7857,0.95,-0.1262,17.6874,861,803,0
2004/4/1,389,93.8377,1.4518,86.2166,2.2851,3.7857,0.95,-0.1262,15.6986,783,870,0
2004/5/1,393,92.917,1.4688,86.721,3.0518,3.7857,1.03,-0.1262,17.705,783,870,0
2004/6/1,396,92.3513,1.4662,86.9962,3.2662,3.7857,1.27,-0.1262,15.3571,783,870,0
2004/7/1,391,93.0155,1.4577,86.8586,2.9908,3.7857,1.36,-0.1262,15.5024,755,831,0
2004/8/1,407,91.7416,1.4607,86.9045,2.6544,3.7857,1.48,-0.1262,16.6841,755,831,0
2004/9/1,416,88.3508,1.469,87.0879,2.5378,3.7857,1.69,-0.1262,14.081,755,831,0
2004/10/1,426,89.5744,1.4988,87.5465,3.1892,3.7857,1.78,-0.1262,14.9738,943,991,0
2004/11/1,453,91.8704,1.5359,87.5924,3.523,3.7857,2.11,-0.1262,13.5771,943,991,0
2004/12/1,436,91.9481,1.553,87.2714,3.2556,3.7857,2.21,-0.1262,12.4595,943,991,0
2005/1/1,422,91.6722,1.5248,87.4548,2.9698,3.3452,2.38,-0.0161,13.438,1027,1014,0
2005/2/1,435,93.0299,1.532,87.9593,3.0075,3.3452,2.6,-0.0161,11.7089,1027,1014,0
2005/3/1,428,94.5643,1.5108,88.6472,3.1483,3.3452,2.79,-0.0161,13.1264,1027,1014,0
2005/4/1,436,93.6228,1.5168,89.2433,3.5106,3.3452,2.84,-0.0161,14.459,879,994,0
2005/5/1,414,92.7834,1.4749,89.1516,2.8027,3.3452,2.88,-0.0161,13.9676,879,994,0
2005/6/1,437,92.5637,1.4566,89.1975,2.5303,3.3452,3.02,-0.0161,11.8686,879,994,0
2005/7/1,429,90.0395,1.4519,89.6102,3.1679,3.3452,3.27,-0.0161,11.049,924,884,0
2005/8/1,433,89.3313,1.4598,90.0688,3.6412,3.3452,3.53,-0.0161,12.9513,924,884,0
2005/9/1,473,76.8067,1.4495,91.1694,4.6867,3.3452,3.49,-0.0161,12.6281,924,884,0
2005/10/1,471,80.1485,1.4458,91.3529,4.3478,3.3452,3.79,-0.0161,14.9376,1081,834,0
2005/11/1,496,85.1219,1.4241,90.6191,3.4555,3.3452,3.97,-0.0161,12.1476,1081,834,0
2005/12/1,513,86.3291,1.4293,90.2523,3.4157,3.3452,3.99,-0.0161,11.26,1081,834,0
2006/1/1,569,87.9632,1.4454,90.9402,3.9853,2.6666,4.34,0.1651,12.036,760,844,0
2006/2/1,556,87.6813,1.435,91.1236,3.5975,2.6666,4.54,0.1651,12.4711,760,844,0
2006/3/1,582,88.3873,1.4408,91.628,3.3626,2.6666,4.63,0.1651,11.6939,760,844,0
2006/4/1,644,88.6891,1.4711,92.4077,3.5457,2.6666,4.73,0.1651,11.8474,792,945,0
2006/5/1,653,89.5384,1.4942,92.8663,4.1667,2.6666,4.83,0.1651,14.4545,792,945,0
2006/6/1,614,90.5779,1.4794,93.0497,4.3188,2.6666,4.9,0.1651,16.9186,792,945,0
2006/7/1,633,89.5513,1.4839,93.3249,4.1453,2.6666,5.06,0.1651,15.326,973,989,0
2006/8/1,624,89.1669,1.4885,93.5083,3.8187,2.6666,5.09,0.1651,13.3517,973,989,0
2006/9/1,599,89.6063,1.4764,93.0497,2.0624,2.6666,4.94,0.1651,12.1845,973,989,0
2006/10/1,604,90.3676,1.48,92.5452,1.3052,2.6666,5.05,0.1651,11.3064,943,769,0
2006/11/1,647,89.7942,1.5077,92.4077,1.9737,2.6666,5.08,0.1651,10.8176,943,769,0
2006/12/1,632,91.1744,1.5044,92.5452,2.5407,2.6666,4.98,0.1651,10.9645,943,769,0
2007/1/1,651,89.55,1.4902,92.8277,2.0756,1.7786,5.1,0.11,11.0425,811,849,0
2007/2/1,664,90.2804,1.5047,93.3244,2.4152,1.7786,5.16,0.11,11.1553,811,849,0
2007/3/1,662,91.168,1.5102,94.1742,2.7788,1.7786,5.08,0.11,15.1627,811,849,0
2007/4/1,677,91.1047,1.5242,94.786,2.5737,1.7786,5,0.11,12.933,797,940,0
2007/5/1,659,92.5122,1.5129,95.3652,2.6909,1.7786,4.87,0.11,13.2977,797,940,0
2007/6/1,651,91.3018,1.5156,95.55,2.687,1.7786,4.73,0.11,14.9476,797,940,0
2007/7/1,666,90.5279,1.5312,95.5257,2.3582,1.7786,4.94,0.11,17.2733,951,991,0
2007/8/1,672,90.1261,1.5326,95.3505,1.9701,1.7786,4.28,0.11,25.0261,951,991,0
2007/9/1,743,90.0308,1.5566,95.6133,2.7551,1.7786,3.9,0.11,22.1989,951,991,0
2007/10/1,790,91.2791,1.5719,95.8178,3.5362,1.7786,4,0.11,19.1157,936,738,0
2007/11/1,784,92.3874,1.5902,96.3869,4.3062,1.7786,3.33,0.11,25.5824,936,738,0
2007/12/1,834,93.0613,1.5803,96.3223,4.0813,1.7786,3.04,0.11,21.651,936,738,0
2008/1/1,923,92.7666,1.5953,96.801,4.2803,-0.2916,2.86,0.1354,25.8162,841,736,0
2008/2/1,972,93.5093,1.6106,97.0822,4.0266,-0.2916,2.12,0.1354,25.456,841,736,0
2008/3/1,934,94.5922,1.6445,97.9237,3.9815,-0.2916,1.15,0.1354,27.1035,841,736,0
2008/4/1,871,94.3133,1.6238,98.5176,3.9369,-0.2916,1.3,0.1354,21.5627,824,771,0
2008/5/1,886,94.0326,1.6207,99.3472,4.1755,-0.2916,1.75,0.1354,18.3033,824,771,0
2008/6/1,930,94.364,1.6336,100.3483,5.0218,-0.2916,1.84,0.1354,22.1105,824,771,0
2008/7/1,918,95.5667,1.6209,100.8752,5.6001,-0.2916,1.67,0.1354,24.3214,824,1179,0
2008/8/1,833,93.2177,1.5699,100.4726,5.3719,-0.2916,1.72,0.1354,20.6957,824,1179,0
2008/9/1,885,78.0304,1.5572,100.3336,4.9369,-0.2916,1.26,0.1354,30.2386,824,1179,0
2008/10/1,731,88.9475,1.4883,99.3201,3.6552,-0.2916,0.58,0.1354,61.1774,980,973,0
2008/11/1,815,93.4266,1.488,97.4179,1.0696,-0.2916,0.12,0.1354,62.6395,980,973,0
2008/12/1,870,93.6007,1.5403,96.4103,0.0914,-0.2916,0.02,0.1354,52.405,980,973,0
2009/1/1,920,95.1645,1.506,96.8299,0.0298,-2.7755,0.12,0.0661,44.683,1039,1254,0
2009/2/1,952,96.7426,1.4674,97.3115,0.2362,-2.7755,0.28,0.0661,45.5705,1039,1254,0
2009/3/1,917,96.4031,1.4951,97.5481,-0.3836,-2.7755,0.18,0.0661,44.7955,1039,1254,0
2009/4/1,883,96.2711,1.4978,97.7916,-0.7369,-2.7755,0.16,0.0661,38.0638,794,996,0
2009/5/1,976,97.3931,1.5481,98.0741,-1.2814,-2.7755,0.16,0.0661,31.978,794,996,0
2009/6/1,935,96.4536,1.5522,98.9166,-1.4268,-2.7755,0.19,0.0661,29.1405,794,996,0
2009/7/1,939,97.1175,1.5533,98.7597,-2.0972,-2.7755,0.18,0.0661,26.1627,850,872,0
2009/8/1,956,97.6192,1.5661,98.9812,-1.4843,-2.7755,0.17,0.0661,25.3371,850,872,0
2009/9/1,996,98.0895,1.5844,99.0431,-1.2862,-2.7755,0.12,0.0661,24.9267,850,872,0
2009/10/1,1040,98.2298,1.5899,99.1385,-0.1828,-2.7755,0.07,0.0661,24.2523,810,942,0
2009/11/1,1176,96.9751,1.6102,99.2087,1.8383,-2.7755,0.04,0.0661,23.7835,810,942,0
2009/12/1,1088,97.2067,1.5677,99.034,2.7213,-2.7755,0.05,0.0661,21.2395,810,942,0
2010/1/1,1079,97.3508,1.5542,99.3724,2.6257,2.5319,0.06,0.083,20.6432,917,869,0
2010/2/1,1108,99.7921,1.5326,99.3972,2.1433,2.5319,0.11,0.083,22.54,917,869,0
2010/3/1,1116,99.4786,1.5182,99.8053,2.314,2.5319,0.15,0.083,17.7674,917,869,0
2010/4/1,1179,98.4455,1.5111,99.9787,2.2364,2.5319,0.16,0.083,17.4243,1108,1077,0
2010/5/1,1208,98.8854,1.4743,100.0562,2.021,2.5319,0.16,0.083,31.9295,1108,1077,0
2010/6/1,1244,98.1699,1.4789,99.9585,1.0533,2.5319,0.12,0.083,29.9164,1108,1077,0
2010/7/1,1169,97.9403,1.5185,99.9796,1.2352,2.5319,0.16,0.083,25.5652,1017,964,0
2010/8/1,1246,100.0194,1.5089,100.1176,1.1481,2.5319,0.15,0.083,24.7459,1017,964,0
2010/9/1,1307,101.9101,1.5562,100.1759,1.1437,2.5319,0.15,0.083,22.5176,1017,964,0
2010/10/1,1347,102.7525,1.5718,100.3006,1.1722,2.5319,0.13,0.083,20.3733,1122,903,0
2010/11/1,1384,102.1827,1.5258,100.3428,1.1432,2.5319,0.14,0.083,20.0957,1122,903,0
2010/12/1,1406,103.0728,1.54,100.5152,1.4957,2.5319,0.13,0.083,17.5695,1122,903,0
2011/1/1,1327,101.25,1.5619,100.994,1.6318,1.6015,0.15,-0.0447,17.3155,877,1018,0
2011/2/1,1411,99.2523,1.5731,101.4921,2.1076,1.6015,0.13,-0.0447,17.43,877,1018,0
2011/3/1,1439,103.69,1.5855,102.4817,2.6816,1.6015,0.09,-0.0447,20.7235,877,1018,0
2011/4/1,1536,103.5116,1.621,103.1416,3.1636,1.6015,0.06,-0.0447,16.244,1048,991,0
2011/5/1,1537,104.3491,1.6008,103.6268,3.5686,1.6015,0.04,-0.0447,16.9114,1048,991,0
2011/6/1,1506,103.6399,1.6005,103.5158,3.5588,1.6015,0.04,-0.0447,19.1532,1048,991,0
2011/7/1,1629,102.2851,1.599,103.6076,3.6287,1.6015,0.04,-0.0447,19.2275,1036,1086,0
2011/8/1,1814,105.139,1.6094,103.8933,3.7712,1.6015,0.02,-0.0447,35.0291,1036,1086,0
2011/9/1,1620,104.1092,1.5616,104.051,3.8684,1.6015,0.01,-0.0447,36.53,1036,1086,0
2011/10/1,1722,108.9008,1.5859,103.8364,3.5252,1.6015,0.02,-0.0447,32.829,1033,972,0
2011/11/1,1746,110.7865,1.5516,103.7488,3.3944,1.6015,0.01,-0.0447,31.9419,1033,972,0
2011/12/1,1531,111.2579,1.5353,103.4929,2.9624,1.6015,0.02,-0.0447,25.0476,1033,972,0
2012/1/1,1744,112.8564,1.5511,103.9483,2.9252,2.224,0.04,0.0121,20.228,1087,1182,1
2012/2/1,1770,113.304,1.556,104.406,2.8711,2.224,0.09,0.0121,18.4205,1087,1182,1
2012/3/1,1663,114.0296,1.5491,105.1989,2.6514,2.224,0.08,0.0121,16.1673,1087,1182,1
2012/4/1,1651,113.8226,1.5506,105.5167,2.3027,2.224,0.08,0.0121,17.823,1120,1060,1
2012/5/1,1558,114.6282,1.5103,105.3929,1.7043,2.224,0.09,0.0121,21.0018,1120,1060,1
2012/6/1,1599,113.3241,1.5176,105.2383,1.664,2.224,0.09,0.0121,21.131,1120,1060,1
2012/7/1,1622,115.9651,1.5083,105.0668,1.4085,2.224,0.1,0.0121,17.5652,1215,1172,1
2012/8/1,1649,115.2043,1.522,105.6515,1.6924,2.224,0.09,0.0121,15.6896,1215,1172,1
2012/9/1,1776,117.9597,1.5422,106.123,1.9913,2.224,0.11,0.0121,15.2847,1215,1172,1
2012/10/1,1719,122.7643,1.5406,106.0817,2.1623,2.224,0.11,0.0121,16.2762,1127,1299,1
2012/11/1,1726,123.9043,1.5348,105.5791,1.7641,2.224,0.08,0.0121,16.7019,1127,1299,1
2012/12/1,1658,123.9002,1.5369,105.2948,1.741,2.224,0.05,0.0121,17.307,1127,1299,1
2013/1/1,1665,123.4267,1.5413,105.6061,1.5949,1.6773,0.08,0.0238,13.5052,1047,1136,1
2013/2/1,1589,124.5021,1.5148,106.4711,1.9779,1.6773,0.09,0.0238,14.0726,1047,1136,1
2013/3/1,1598,125.1578,1.4992,106.7494,1.4739,1.6773,0.09,0.0238,13.0315,1047,1136,1
2013/4/1,1469,127.6195,1.5092,106.6384,1.0631,1.6773,0.06,0.0238,13.9673,1026,1258,1
2013/5/1,1395,126.6985,1.4988,106.8283,1.362,1.6773,0.04,0.0238,13.4936,1026,1258,1
2013/6/1,1192,126.0911,1.504,107.0847,1.7544,1.6773,0.05,0.0238,17.2715,1026,1258,1
2013/7/1,1315,129.4084,1.5147,107.1269,1.9607,1.6773,0.04,0.0238,13.9745,1128,1080,1
2013/8/1,1395,130.1076,1.5153,107.2557,1.5184,1.6773,0.04,0.0238,14.21,1128,1080,1
2013/9/1,1327,132.9258,1.5341,107.3805,1.1849,1.6773,0.02,0.0238,14.692,1128,1080,1
2013/10/1,1324,132.4108,1.5435,107.1039,0.9636,1.6773,0.05,0.0238,15.4078,1098,1033,1
2013/11/1,1253,134.6528,1.5352,106.8852,1.2371,1.6773,0.04,0.0238,12.924,1098,1033,1
2013/12/1,1205,134.1814,1.54,106.876,1.5017,1.6773,0.07,0.0238,14.1924,1098,1033,1
2014/1/1,1251,135.8128,1.5342,107.2736,1.5789,2.5692,0.05,0.0241,14.241,1104,1103,1
2014/2/1,1327,137.8266,1.5474,107.6703,1.1263,2.5692,0.05,0.0241,15.47,1104,1103,1
2014/3/1,1292,139.9178,1.5456,108.3637,1.5122,2.5692,0.05,0.0241,14.8367,1104,1103,1
2014/4/1,1289,144.9652,1.5497,108.7209,1.9529,2.5692,0.03,0.0241,14.1981,1087,1050,1
2014/5/1,1251,144.6412,1.5408,109.1007,2.1271,2.5692,0.03,0.0241,12.4752,1087,1050,1
2014/6/1,1315,146.3906,1.5459,109.3038,2.0723,2.5692,0.03,0.0241,11.5414,1087,1050,1
2014/7/1,1285,148.4661,1.5313,109.2612,1.9923,2.5692,0.02,0.0241,12.2964,1092,1069,1
2014/8/1,1286,149.3881,1.5184,109.0787,1.6996,2.5692,0.03,0.0241,13.4919,1092,1069,1
2014/9/1,1217,151.338,1.4826,109.1607,1.6579,2.5692,0.02,0.0241,13.4667,1092,1069,1
2014/10/1,1164,153.7244,1.4783,108.8865,1.6643,2.5692,0.01,0.0241,18.0587,1155,1102,1
2014/11/1,1183,153.7969,1.4642,108.2986,1.3224,2.5692,0.02,0.0241,13.4132,1155,1102,1
2014/12/1,1206,155.9736,1.4488,107.6845,0.7565,2.5692,0.02,0.0241,16.2923,1155,1102,1
2015/1/1,1260,154.8534,1.4098,107.1778,-0.0893,2.8616,0.02,-0.0407,19.1195,1086,1097,1
2015/2/1,1214,157.1406,1.4074,107.6432,-0.0251,2.8616,0.02,-0.0407,15.9042,1086,1097,1
2015/3/1,1187,157.7689,1.3795,108.2839,-0.0736,2.8616,0.02,-0.0407,14.8127,1086,1097,1
2015/4/1,1180,159.5358,1.4064,108.504,-0.1995,2.8616,0.02,-0.0407,13.4948,1044,932,1
2015/5/1,1191,156.6448,1.3905,109.0571,-0.0399,2.8616,0.01,-0.0407,13.3385,1044,932,1
2015/6/1,1171,155.5097,1.4064,109.4391,0.1238,2.8616,0.02,-0.0407,14.3395,1044,932,1
2015/7/1,1098,156.4655,1.3947,109.4464,0.1696,2.8616,0.03,-0.0407,14.3527,1129,1125,1
2015/8/1,1135,156.4467,1.4038,109.2914,0.1951,2.8616,0.06,-0.0407,19.4281,1129,1125,1
2015/9/1,1114,157.2115,1.4037,109.1213,-0.0361,2.8616,0.02,-0.0407,24.3771,1129,1125,1
2015/10/1,1142,156.129,1.3969,109.0722,0.1706,2.8616,0.02,-0.0407,16.7895,1092,1146,1
2015/11/1,1062,155.627,1.3722,108.842,0.5018,2.8616,0.13,-0.0407,16.21,1092,1146,1
2015/12/1,1060,154.7222,1.3857,108.4701,0.7295,2.8616,0.21,-0.0407,18.0255,1092,1146,1
2016/1/1,1112,154.3212,1.3805,108.6494,1.3731,1.4853,0.25,-0.0818,23.7179,1183,1285,1
2016/2/1,1235,154.3513,1.3813,108.7388,1.0178,1.4853,0.31,-0.0818,22.517,1183,1285,1
2016/3/1,1237,154.456,1.4088,109.2071,0.8525,1.4853,0.31,-0.0818,15.8491,1183,1285,1
2016/4/1,1286,152.223,1.4173,109.7248,1.1251,1.4853,0.23,-0.0818,14.3005,1167,1055,1
2016/5/1,1212,151.7825,1.4029,110.1687,1.0193,1.4853,0.28,-0.0818,14.8529,1167,1055,1
