,GP,OP_US,EX_US,CPI_US,INFR_US,IGR_US,IR_US,PSI,VIX,total_S,total_D,Dummy
Jan-03,367.50 ,95.03 ,1.38 ,83.33 ,2.60 ,2.81 ,0.0475 ,-0.0684 ,27.42 ,878 ,743 ,0 
Feb-03,347.45 ,95.84 ,1.37 ,83.97 ,2.98 ,2.81 ,0.0475 ,-0.0684 ,32.22 ,878 ,743 ,0 
Mar-03,334.85 ,96.82 ,1.37 ,84.47 ,3.02 ,2.81 ,0.0500 ,-0.0684 ,30.63 ,878 ,743 ,0 
Apr-03,336.75 ,95.67 ,1.38 ,84.29 ,2.22 ,2.81 ,0.0500 ,-0.0684 ,23.99 ,902 ,844 ,0 
May-03,361.40 ,94.04 ,1.42 ,84.15 ,2.06 ,2.81 ,0.0525 ,-0.0684 ,20.24 ,902 ,844 ,0 
Jun-03,346.00 ,94.18 ,1.40 ,84.24 ,2.11 ,2.81 ,0.0560 ,-0.0684 ,20.36 ,902 ,844 ,0 
Jul-03,354.75 ,92.42 ,1.39 ,84.34 ,2.11 ,2.81 ,0.0575 ,-0.0684 ,19.16 ,1071 ,821 ,0 
Aug-03,375.60 ,94.19 ,1.38 ,84.66 ,2.16 ,2.81 ,0.0575 ,-0.0684 ,19.27 ,1071 ,821 ,0 
Sep-03,388.00 ,94.36 ,1.42 ,84.93 ,2.32 ,2.81 ,0.0600 ,-0.0684 ,19.53 ,1071 ,821 ,0 
Oct-03,386.25 ,94.67 ,1.43 ,84.84 ,2.04 ,2.81 ,0.0675 ,-0.0684 ,18.02 ,994 ,821 ,0 
Nov-03,398.35 ,93.75 ,1.45 ,84.61 ,1.77 ,2.81 ,0.0720 ,-0.0684 ,17.40 ,994 ,821 ,0 
Dec-03,416.25 ,93.36 ,1.49 ,84.52 ,1.88 ,2.81 ,0.0750 ,-0.0684 ,16.83 ,994 ,821 ,0 
Jan-04,399.75 ,93.80 ,1.48 ,84.93 ,1.93 ,3.79 ,0.0800 ,-0.1262 ,16.10 ,861 ,803 ,0 
Feb-04,395.85 ,93.16 ,1.48 ,85.39 ,1.69 ,3.79 ,0.0825 ,-0.1262 ,16.00 ,861 ,803 ,0 
Mar-04,423.70 ,94.43 ,1.48 ,85.94 ,1.74 ,3.79 ,0.0840 ,-0.1262 ,17.69 ,861 ,803 ,0 
Apr-04,388.50 ,93.84 ,1.45 ,86.22 ,2.29 ,3.79 ,0.0850 ,-0.1262 ,15.70 ,783 ,870 ,0 
May-04,393.25 ,92.92 ,1.47 ,86.72 ,3.05 ,3.79 ,0.0860 ,-0.1262 ,17.71 ,783 ,870 ,0 
Jun-04,395.80 ,92.35 ,1.47 ,87.00 ,3.27 ,3.79 ,0.0880 ,-0.1262 ,15.36 ,783 ,870 ,0 
Jul-04,391.40 ,93.02 ,1.46 ,86.86 ,2.99 ,3.79 ,0.0900 ,-0.1262 ,15.50 ,755 ,831 ,0 
Aug-04,407.25 ,91.74 ,1.46 ,86.90 ,2.65 ,3.79 ,0.0900 ,-0.1262 ,16.68 ,755 ,831 ,0 
Sep-04,415.65 ,88.35 ,1.47 ,87.09 ,2.54 ,3.79 ,0.0900 ,-0.1262 ,14.08 ,755 ,831 ,0 
Oct-04,425.55 ,89.57 ,1.50 ,87.55 ,3.19 ,3.79 ,0.0940 ,-0.1262 ,14.97 ,943 ,991 ,0 
Nov-04,453.40 ,91.87 ,1.54 ,87.59 ,3.52 ,3.79 ,0.0950 ,-0.1262 ,13.58 ,943 ,991 ,0 
Dec-04,435.60 ,91.95 ,1.55 ,87.27 ,3.26 ,3.79 ,0.1075 ,-0.1262 ,12.46 ,943 ,991 ,0 
Jan-05,422.15 ,91.67 ,1.52 ,87.45 ,2.97 ,3.35 ,0.1100 ,-0.0161 ,13.44 ,1027 ,1014 ,0 
Feb-05,435.45 ,93.03 ,1.53 ,87.96 ,3.01 ,3.35 ,0.1100 ,-0.0161 ,11.71 ,1027 ,1014 ,0 
Mar-05,427.50 ,94.56 ,1.51 ,88.65 ,3.15 ,3.35 ,0.1150 ,-0.0161 ,13.13 ,1027 ,1014 ,0 
Apr-05,435.70 ,93.62 ,1.52 ,89.24 ,3.51 ,3.35 ,0.1150 ,-0.0161 ,14.46 ,879 ,994 ,0 
May-05,414.45 ,92.78 ,1.47 ,89.15 ,2.80 ,3.35 ,0.1175 ,-0.0161 ,13.97 ,879 ,994 ,0 
Jun-05,437.10 ,92.56 ,1.46 ,89.20 ,2.53 ,3.35 ,0.1240 ,-0.0161 ,11.87 ,879 ,994 ,0 
Jul-05,429.00 ,90.04 ,1.45 ,89.61 ,3.17 ,3.35 ,0.1250 ,-0.0161 ,11.05 ,924 ,884 ,0 
Aug-05,433.25 ,89.33 ,1.46 ,90.07 ,3.64 ,3.35 ,0.1280 ,-0.0161 ,12.95 ,924 ,884 ,0 
Sep-05,473.25 ,76.81 ,1.45 ,91.17 ,4.69 ,3.35 ,0.1300 ,-0.0161 ,12.63 ,924 ,884 ,0 
Oct-05,470.75 ,80.15 ,1.45 ,91.35 ,4.35 ,3.35 ,0.1340 ,-0.0161 ,14.94 ,1081 ,834 ,0 
Nov-05,495.65 ,85.12 ,1.42 ,90.62 ,3.46 ,3.35 ,0.1400 ,-0.0161 ,12.15 ,1081 ,834 ,0 
Dec-05,513.00 ,86.33 ,1.43 ,90.25 ,3.42 ,3.35 ,0.1475 ,-0.0161 ,11.26 ,1081 ,834 ,0 
Jan-06,568.75 ,87.96 ,1.45 ,90.94 ,3.99 ,2.67 ,0.1500 ,0.1651 ,12.04 ,760 ,844 ,0 
Feb-06,556.00 ,87.68 ,1.44 ,91.12 ,3.60 ,2.67 ,0.1500 ,0.1651 ,12.47 ,760 ,844 ,0 
Mar-06,582.00 ,88.39 ,1.44 ,91.63 ,3.36 ,2.67 ,0.1500 ,0.1651 ,11.69 ,760 ,844 ,0 
Apr-06,644.00 ,88.69 ,1.47 ,92.41 ,3.55 ,2.67 ,0.1550 ,0.1651 ,11.85 ,792 ,945 ,0 
May-06,653.00 ,89.54 ,1.49 ,92.87 ,4.17 ,2.67 ,0.1575 ,0.1651 ,14.45 ,792 ,945 ,0 
Jun-06,613.50 ,90.58 ,1.48 ,93.05 ,4.32 ,2.67 ,0.1580 ,0.1651 ,16.92 ,792 ,945 ,0 
Jul-06,632.50 ,89.55 ,1.48 ,93.32 ,4.15 ,2.67 ,0.1600 ,0.1651 ,15.33 ,973 ,989 ,0 
Aug-06,623.50 ,89.17 ,1.49 ,93.51 ,3.82 ,2.67 ,0.1640 ,0.1651 ,13.35 ,973 ,989 ,0 
Sep-06,599.25 ,89.61 ,1.48 ,93.05 ,2.06 ,2.67 ,0.1700 ,0.1651 ,12.18 ,973 ,989 ,0 
Oct-06,603.75 ,90.37 ,1.48 ,92.55 ,1.31 ,2.67 ,0.1760 ,0.1651 ,11.31 ,943 ,769 ,0 
Nov-06,646.70 ,89.79 ,1.51 ,92.41 ,1.97 ,2.67 ,0.1825 ,0.1651 ,10.82 ,943 ,769 ,0 
Dec-06,632.00 ,91.17 ,1.50 ,92.55 ,2.54 ,2.67 ,0.1850 ,0.1651 ,10.96 ,943 ,769 ,0 
Jan-07,650.50 ,89.55 ,1.49 ,92.83 ,2.08 ,1.78 ,0.2130 ,0.1100 ,11.04 ,811 ,849 ,0 
Feb-07,664.20 ,90.28 ,1.50 ,93.32 ,2.42 ,1.78 ,0.2260 ,0.1100 ,11.16 ,811 ,849 ,0 
Mar-07,661.75 ,91.17 ,1.51 ,94.17 ,2.78 ,1.78 ,0.2480 ,0.1100 ,15.16 ,811 ,849 ,0 
Apr-07,677.00 ,91.10 ,1.52 ,94.79 ,2.57 ,1.78 ,0.2750 ,0.1100 ,12.93 ,797 ,940 ,0 
May-07,659.10 ,92.51 ,1.51 ,95.37 ,2.69 ,1.78 ,0.2750 ,0.1100 ,13.30 ,797 ,940 ,0 
Jun-07,650.50 ,91.30 ,1.52 ,95.55 ,2.69 ,1.78 ,0.2830 ,0.1100 ,14.95 ,797 ,940 ,0 
Jul-07,665.50 ,90.53 ,1.53 ,95.53 ,2.36 ,1.78 ,0.2900 ,0.1100 ,17.27 ,951 ,991 ,0 
Aug-07,672.00 ,90.13 ,1.53 ,95.35 ,1.97 ,1.78 ,0.2980 ,0.1100 ,25.03 ,951 ,991 ,0 
Sep-07,743.00 ,90.03 ,1.56 ,95.61 ,2.76 ,1.78 ,0.3030 ,0.1100 ,22.20 ,951 ,991 ,0 
Oct-07,789.50 ,91.28 ,1.57 ,95.82 ,3.54 ,1.78 ,0.3050 ,0.1100 ,19.12 ,936 ,738 ,0 
Nov-07,783.50 ,92.39 ,1.59 ,96.39 ,4.31 ,1.78 ,0.3100 ,0.1100 ,25.58 ,936 ,738 ,0 
Dec-07,833.75 ,93.06 ,1.58 ,96.32 ,4.08 ,1.78 ,0.3230 ,0.1100 ,21.65 ,936 ,738 ,0 
Jan-08,923.25 ,92.77 ,1.60 ,96.80 ,4.28 ,-0.29 ,0.4480 ,0.1354 ,25.82 ,841 ,736 ,0 
Feb-08,971.50 ,93.51 ,1.61 ,97.08 ,4.03 ,-0.29 ,0.5140 ,0.1354 ,25.46 ,841 ,736 ,0 
Mar-08,933.50 ,94.59 ,1.64 ,97.92 ,3.98 ,-0.29 ,0.5200 ,0.1354 ,27.10 ,841 ,736 ,0 
Apr-08,871.00 ,94.31 ,1.62 ,98.52 ,3.94 ,-0.29 ,0.5275 ,0.1354 ,21.56 ,824 ,771 ,0 
May-08,885.75 ,94.03 ,1.62 ,99.35 ,4.18 ,-0.29 ,0.5760 ,0.1354 ,18.30 ,824 ,771 ,0 
Jun-08,930.25 ,94.36 ,1.63 ,100.35 ,5.02 ,-0.29 ,0.7460 ,0.1354 ,22.11 ,824 ,771 ,0 
Jul-08,918.00 ,95.57 ,1.62 ,100.88 ,5.60 ,-0.29 ,0.8050 ,0.1354 ,24.32 ,824 ,1179 ,0 
Aug-08,833.00 ,93.22 ,1.57 ,100.47 ,5.37 ,-0.29 ,0.8950 ,0.1354 ,20.70 ,824 ,1179 ,0 
Sep-08,884.50 ,78.03 ,1.56 ,100.33 ,4.94 ,-0.29 ,0.9000 ,0.1354 ,30.24 ,824 ,1179 ,0 
Oct-08,730.75 ,88.95 ,1.49 ,99.32 ,3.66 ,-0.29 ,0.9025 ,0.1354 ,61.18 ,980 ,973 ,0 
Nov-08,814.50 ,93.43 ,1.49 ,97.42 ,1.07 ,-0.29 ,0.9050 ,0.1354 ,62.64 ,980 ,973 ,0 
Dec-08,869.75 ,93.60 ,1.54 ,96.41 ,0.09 ,-0.29 ,0.9300 ,0.1354 ,52.41 ,980 ,973 ,0 
Jan-09,919.50 ,95.16 ,1.51 ,96.83 ,0.03 ,-2.78 ,0.9400 ,0.0661 ,44.68 ,1039 ,1254 ,0 
Feb-09,952.00 ,96.74 ,1.47 ,97.31 ,0.24 ,-2.78 ,0.9433 ,0.0661 ,45.57 ,1039 ,1254 ,0 
Mar-09,916.50 ,96.40 ,1.50 ,97.55 ,-0.38 ,-2.78 ,0.9450 ,0.0661 ,44.80 ,1039 ,1254 ,0 
Apr-09,883.25 ,96.27 ,1.50 ,97.79 ,-0.74 ,-2.78 ,0.9500 ,0.0661 ,38.06 ,794 ,996 ,0 
May-09,975.50 ,97.39 ,1.55 ,98.07 ,-1.28 ,-2.78 ,0.9525 ,0.0661 ,31.98 ,794 ,996 ,0 
Jun-09,934.50 ,96.45 ,1.55 ,98.92 ,-1.43 ,-2.78 ,0.9540 ,0.0661 ,29.14 ,794 ,996 ,0 
Jul-09,939.00 ,97.12 ,1.55 ,98.76 ,-2.10 ,-2.78 ,0.9600 ,0.0661 ,26.16 ,850 ,872 ,0 
Aug-09,955.50 ,97.62 ,1.57 ,98.98 ,-1.48 ,-2.78 ,0.9700 ,0.0661 ,25.34 ,850 ,872 ,0 
Sep-09,995.75 ,98.09 ,1.58 ,99.04 ,-1.29 ,-2.78 ,1.0300 ,0.0661 ,24.93 ,850 ,872 ,0 
Oct-09,1040.00 ,98.23 ,1.59 ,99.14 ,-0.18 ,-2.78 ,1.0940 ,0.0661 ,24.25 ,810 ,942 ,0 
Nov-09,1175.75 ,96.98 ,1.61 ,99.21 ,1.84 ,-2.78 ,1.1425 ,0.0661 ,23.78 ,810 ,942 ,0 
Dec-09,1087.50 ,97.21 ,1.57 ,99.03 ,2.72 ,-2.78 ,1.1450 ,0.0661 ,21.24 ,810 ,942 ,0 
Jan-10,1078.50 ,97.35 ,1.55 ,99.37 ,2.63 ,2.53 ,1.1500 ,0.0830 ,20.64 ,917 ,869 ,0 
Feb-10,1108.25 ,99.79 ,1.53 ,99.40 ,2.14 ,2.53 ,1.1850 ,0.0830 ,22.54 ,917 ,869 ,0 
Mar-10,1115.50 ,99.48 ,1.52 ,99.81 ,2.31 ,2.53 ,1.1880 ,0.0830 ,17.77 ,917 ,869 ,0 
Apr-10,1179.25 ,98.45 ,1.51 ,99.98 ,2.24 ,2.53 ,1.1975 ,0.0830 ,17.42 ,1108 ,1077 ,0 
May-10,1207.50 ,98.89 ,1.47 ,100.06 ,2.02 ,2.53 ,1.2575 ,0.0830 ,31.93 ,1108 ,1077 ,0 
Jun-10,1244.00 ,98.17 ,1.48 ,99.96 ,1.05 ,2.53 ,1.2640 ,0.0830 ,29.92 ,1108 ,1077 ,0 
Jul-10,1169.00 ,97.94 ,1.52 ,99.98 ,1.24 ,2.53 ,1.2675 ,0.0830 ,25.57 ,1017 ,964 ,0 
Aug-10,1246.00 ,100.02 ,1.51 ,100.12 ,1.15 ,2.53 ,1.3025 ,0.0830 ,24.75 ,1017 ,964 ,0 
Sep-10,1307.00 ,101.91 ,1.56 ,100.18 ,1.14 ,2.53 ,1.3550 ,0.0830 ,22.52 ,1017 ,964 ,0 
Oct-10,1346.75 ,102.75 ,1.57 ,100.30 ,1.17 ,2.53 ,1.4775 ,0.0830 ,20.37 ,1122 ,903 ,0 
Nov-10,1383.50 ,102.18 ,1.53 ,100.34 ,1.14 ,2.53 ,1.6250 ,0.0830 ,20.10 ,1122 ,903 ,0 
Dec-10,1405.50 ,103.07 ,1.54 ,100.52 ,1.50 ,2.53 ,1.6575 ,0.0830 ,17.57 ,1122 ,903 ,0 
Jan-11,1327.00 ,101.25 ,1.56 ,100.99 ,1.63 ,1.60 ,1.6578 ,-0.0447 ,17.32 ,877 ,1018 ,0 
Feb-11,1411.00 ,99.25 ,1.57 ,101.49 ,2.11 ,1.60 ,1.6669 ,-0.0447 ,17.43 ,877 ,1018 ,0 
Mar-11,1439.00 ,103.69 ,1.59 ,102.48 ,2.68 ,1.60 ,1.6675 ,-0.0447 ,20.72 ,877 ,1018 ,0 
Apr-11,1535.50 ,103.51 ,1.62 ,103.14 ,3.16 ,1.60 ,1.6875 ,-0.0447 ,16.24 ,1048 ,991 ,0 
May-11,1536.50 ,104.35 ,1.60 ,103.63 ,3.57 ,1.60 ,1.7075 ,-0.0447 ,16.91 ,1048 ,991 ,0 
Jun-11,1505.50 ,103.64 ,1.60 ,103.52 ,3.56 ,1.60 ,1.7171 ,-0.0447 ,19.15 ,1048 ,991 ,0 
Jul-11,1628.50 ,102.29 ,1.60 ,103.61 ,3.63 ,1.60 ,1.7240 ,-0.0447 ,19.23 ,1036 ,1086 ,0 
Aug-11,1813.50 ,105.14 ,1.61 ,103.89 ,3.77 ,1.60 ,1.7375 ,-0.0447 ,35.03 ,1036 ,1086 ,0 
Sep-11,1620.00 ,104.11 ,1.56 ,104.05 ,3.87 ,1.60 ,1.7414 ,-0.0447 ,36.53 ,1036 ,1086 ,0 
Oct-11,1722.00 ,108.90 ,1.59 ,103.84 ,3.53 ,1.60 ,1.7520 ,-0.0447 ,32.83 ,1033 ,972 ,0 
Nov-11,1746.00 ,110.79 ,1.55 ,103.75 ,3.39 ,1.60 ,1.7543 ,-0.0447 ,31.94 ,1033 ,972 ,0 
