date,GP,OP_US,EX_US,CPI_US,INFR_US,IGR_US,IR_US,PSI,VIX,total_S,total_D,Dummy
3-Mar,334.85,96.82462137,1.373796211,84.47390687,3.020134228,2.806775956,1.14,-0.06839069,30.63428571,878,743,0
3-Jun,346,94.1759466,1.400854521,84.24460745,2.112284603,2.806775956,0.9,-0.06839069,20.36238095,902,844,0
3-Sep,388,94.35687786,1.416149772,84.93250572,2.320441989,2.806775956,0.95,-0.06839069,19.53238095,1071,821,0
3-Dec,416.25,93.36298239,1.48597242,84.51976676,1.879491432,2.806775956,0.9,-0.06839069,16.82636364,994,821,0
4-Mar,423.7,94.43280124,1.480516404,85.94142317,1.737242128,3.78574285,0.95,-0.12623332,17.6873913,861,803,0
4-Jun,395.8,92.35133253,1.466211164,86.99620051,3.266194883,3.78574285,1.27,-0.12623332,15.35714286,783,870,0
4-Sep,415.65,88.35075434,1.468989629,87.08792028,2.537796976,3.78574285,1.69,-0.12623332,14.08095238,755,831,0
4-Dec,435.6,91.94812097,1.553012067,87.27135981,3.255561584,3.78574285,2.21,-0.12623332,12.45954545,943,991,0
5-Mar,427.5,94.56432389,1.510825062,88.64715634,3.148345784,3.345216063,2.79,-0.0161461,13.12636364,1026.7,1014,0
5-Jun,437.1,92.56368439,1.456621803,89.19747495,2.530311017,3.345216063,3.02,-0.0161461,11.86863636,879.3,994.2,0
5-Sep,473.25,76.80666257,1.449464423,91.16944998,4.686677199,3.345216063,3.49,-0.0161461,12.62809524,923.7,884.4,0
5-Dec,513,86.3290899,1.429265643,90.25225229,3.415659485,3.345216063,3.99,-0.0161461,11.26,1080.9,833.5,0
6-Mar,582,88.38731437,1.440839145,91.62804882,3.362648733,2.666625826,4.63,0.16512946,11.69391304,760,844,0
6-Jun,613.5,90.57787914,1.479377478,93.04970524,4.318766067,2.666625826,4.9,0.16512946,16.91863636,792,945,0
6-Sep,599.25,89.60629346,1.476363422,93.04970524,2.062374245,2.666625826,4.94,0.16512946,12.1845,973,989,0
6-Dec,632,91.17440331,1.504392827,92.54524651,2.540650407,2.666625826,4.98,0.16512946,10.9645,943,769,0
7-Mar,661.75,91.16797902,1.510186206,94.1741896,2.778778779,1.77857024,5.08,0.10995228,15.16272727,811,849,0
7-Jun,650.5,91.30183778,1.515564851,95.54998613,2.68703795,1.77857024,4.73,0.10995228,14.94761905,797,940,0
7-Sep,743,90.03076357,1.556638284,95.61327277,2.75505175,1.77857024,3.9,0.10995228,22.19894737,951,991,0
7-Dec,833.75,93.06127455,1.580253157,96.32226658,4.081268583,1.77857024,3.04,0.10995228,21.651,936,738,0
8-Mar,933.5,94.59224034,1.644493414,97.92369374,3.981456231,-0.291621459,1.15,0.13540702,27.1035,841,736,0
8-Jun,930.25,94.36400297,1.633613226,100.3483058,5.021790048,-0.291621459,1.84,0.13540702,22.11047619,824,771,0
8-Sep,884.5,78.03043068,1.557220051,100.3336307,4.936927431,-0.291621459,1.26,0.13540702,30.23857143,824,1179,0
8-Dec,869.75,93.60068097,1.540262461,96.41031756,0.091412901,-0.291621459,0.02,0.13540702,52.405,980,973,0
9-Mar,916.5,96.40307139,1.49507,97.54810129,-0.383556255,-2.775529574,0.18,0.06609263,44.79545455,1039.2,1254.2,0
9-Jun,934.5,96.45364805,1.55223,98.91656023,-1.426776044,-2.775529574,0.19,0.06609263,29.14045455,793.7,996.2,0
9-Sep,995.75,98.08950491,1.58437,99.04313351,-1.286205967,-2.775529574,0.12,0.06609263,24.92666667,850.2,871.8,0
9-Dec,1087.5,97.20669119,1.56769,99.03396154,2.721331126,-2.775529574,0.05,0.06609263,21.23954545,810.4,941.8,0
10-Mar,1115.5,99.47855237,1.51824,99.80532479,2.313959447,2.531920616,0.15,0.08303936,17.7673913,917.2,868.9,0
10-Jun,1244,98.16986689,1.4789,99.9584968,1.053348973,2.531920616,0.12,0.08303936,29.91636364,1107.5,1076.9,0
10-Sep,1307,101.9100863,1.55619,100.1758727,1.143682658,2.531920616,0.15,0.08303936,22.51761905,1017.2,963.5,0
10-Dec,1405.5,103.0727653,1.54003,100.5152358,1.495723527,2.531920616,0.13,0.08303936,17.56954545,1121.9,902.9,0
11-Mar,1439,103.689964,1.5855,102.4817076,2.681603264,1.601454672,0.09,-0.04465433,20.72347826,877.4,1017.6,0
11-Jun,1505.5,103.6398545,1.60045,103.515848,3.558828252,1.601454672,0.04,-0.04465433,19.15318182,1047.6,991.4,0
11-Sep,1620,104.1091778,1.56162,104.0510329,3.868356841,1.601454672,0.01,-0.04465433,36.53,1035.7,1086,0
11-Dec,1531,111.2578898,1.53527,103.4929181,2.962418845,1.601454672,0.02,-0.04465433,25.04761905,1033.3,972.1,0
12-Mar,1662.5,114.0295605,1.54909,105.1989058,2.651398193,2.224030854,0.08,0.01206125,16.16727273,1086.832498,1181.750222,1
12-Jun,1598.5,113.3240571,1.51755,105.2383453,1.663993762,2.224030854,0.09,0.01206125,21.13095238,1119.728656,1059.835836,1
12-Sep,1776,117.9597051,1.54219,106.1229825,1.991282081,2.224030854,0.11,0.01206125,15.28473684,1215.111014,1171.801691,1
12-Dec,1657.5,123.9001841,1.53692,105.2947529,1.741022369,2.224030854,0.05,0.01206125,17.307,1126.892383,1299.234523,1
13-Mar,1598.25,125.1578257,1.499205421,106.7494285,1.473896213,1.67733153,0.09,0.02382686,13.0315,1046.64446,1135.822345,1
13-Jun,1192,126.0910993,1.50396,107.0846642,1.754416545,1.67733153,0.05,0.02382686,17.2715,1026.389378,1258.407327,1
13-Sep,1326.5,132.9258389,1.53408,107.3804605,1.184925262,1.67733153,0.02,0.02382686,14.692,1128.356299,1080.397739,1
13-Dec,1204.5,134.181378,1.54,106.8760018,1.50173562,1.67733153,0.07,0.02382686,14.19238095,1098.409082,1032.614725,1
14-Mar,1291.75,139.9177983,1.54563,108.3636964,1.512202876,2.569193594,0.05,0.0240892,14.83666667,1104.083418,1103.055205,1
14-Jun,1315,146.3905586,1.54589,109.303824,2.072341373,2.569193594,0.03,0.0240892,11.54142857,1086.705332,1049.858453,1
14-Sep,1216.5,151.3379598,1.48258,109.1607412,1.657918676,2.569193594,0.02,0.0240892,13.46666667,1092.339263,1069.040426,1
