"","Date","VIX.Close","Month"
"1",2000-01-03,24.21,"2000-01"
"2",2000-01-04,27.01,"2000-01"
"3",2000-01-05,26.41,"2000-01"
"4",2000-01-06,25.73,"2000-01"
"5",2000-01-07,21.72,"2000-01"
"6",2000-01-10,21.71,"2000-01"
"7",2000-01-11,22.5,"2000-01"
"8",2000-01-12,22.84,"2000-01"
"9",2000-01-13,21.71,"2000-01"
"10",2000-01-14,19.66,"2000-01"
"11",2000-01-18,21.5,"2000-01"
"12",2000-01-19,21.72,"2000-01"
"13",2000-01-20,21.75,"2000-01"
"14",2000-01-21,20.82,"2000-01"
"15",2000-01-24,24.07,"2000-01"
"16",2000-01-25,23.02,"2000-01"
"17",2000-01-26,23.03,"2000-01"
"18",2000-01-27,23.54,"2000-01"
"19",2000-01-28,26.14,"2000-01"
"20",2000-01-31,24.95,"2000-01"
"21",2000-02-01,23.45,"2000-02"
"22",2000-02-02,23.12,"2000-02"
"23",2000-02-03,22.01,"2000-02"
"24",2000-02-04,21.54,"2000-02"
"25",2000-02-07,22.79,"2000-02"
"26",2000-02-08,21.25,"2000-02"
"27",2000-02-09,22.9,"2000-02"
"28",2000-02-10,23.07,"2000-02"
"29",2000-02-11,24.42,"2000-02"
"30",2000-02-14,24.38,"2000-02"
"31",2000-02-15,22.92,"2000-02"
"32",2000-02-16,23.51,"2000-02"
"33",2000-02-17,23.17,"2000-02"
"34",2000-02-18,26,"2000-02"
"35",2000-02-22,25.86,"2000-02"
"36",2000-02-23,23.89,"2000-02"
"37",2000-02-24,24.38,"2000-02"
"38",2000-02-25,25.2,"2000-02"
"39",2000-02-28,24.68,"2000-02"
"40",2000-02-29,23.37,"2000-02"
"41",2000-03-01,21.64,"2000-03"
"42",2000-03-02,21.06,"2000-03"
"43",2000-03-03,19.21,"2000-03"
"44",2000-03-06,21.5,"2000-03"
"45",2000-03-07,24.31,"2000-03"
"46",2000-03-08,23.82,"2000-03"
"47",2000-03-09,22.21,"2000-03"
"48",2000-03-10,21.24,"2000-03"
"49",2000-03-13,22.85,"2000-03"
"50",2000-03-14,24.41,"2000-03"
"51",2000-03-15,22.34,"2000-03"
"52",2000-03-16,20.77,"2000-03"
"53",2000-03-17,22.37,"2000-03"
"54",2000-03-20,22.96,"2000-03"
"55",2000-03-21,21.7,"2000-03"
"56",2000-03-22,21.49,"2000-03"
"57",2000-03-23,22.26,"2000-03"
"58",2000-03-24,23.31,"2000-03"
"59",2000-03-27,24.53,"2000-03"
"60",2000-03-28,24.86,"2000-03"
"61",2000-03-29,24.1,"2000-03"
"62",2000-03-30,25.47,"2000-03"
"63",2000-03-31,24.11,"2000-03"
"64",2000-04-03,24.03,"2000-04"
"65",2000-04-04,27.12,"2000-04"
