"","sell0.01","buy0.01","sell0.02","buy0.02","sell0.03","buy0.03","sell0.04","buy0.04","sell0.05","buy0.05","sell0.06","buy0.06","sell0.07","buy0.07","sell0.08","buy0.08","sell0.09","buy0.09","sell0.1","buy0.1","sell0.11","buy0.11","sell0.12","buy0.12","sell0.13","buy0.13","sell0.14","buy0.14","sell0.15","buy0.15","sell0.16","buy0.16","sell0.17","buy0.17","sell0.18","buy0.18","sell0.19","buy0.19","sell0.2","buy0.2","sell0.21","buy0.21","sell0.22","buy0.22","sell0.23","buy0.23","sell0.24","buy0.24","sell0.25","buy0.25","sell0.26","buy0.26","sell0.27","buy0.27","sell0.28","buy0.28","sell0.29","buy0.29","sell0.3","buy0.3","sell0.31","buy0.31","sell0.32","buy0.32","sell0.33","buy0.33","sell0.34","buy0.34","sell0.35","buy0.35","sell0.36","buy0.36","sell0.37","buy0.37","sell0.38","buy0.38","sell0.39","buy0.39","sell0.4","buy0.4","sell0.41","buy0.41","sell0.42","buy0.42","sell0.43","buy0.43","sell0.44","buy0.44","sell0.45","buy0.45","sell0.46","buy0.46","sell0.47","buy0.47","sell0.48","buy0.48","sell0.49","buy0.49","sell0.5","buy0.5","sell0.51","buy0.51","sell0.52","buy0.52","sell0.53","buy0.53","sell0.54","buy0.54","sell0.55","buy0.55","sell0.56","buy0.56","sell0.57","buy0.57","sell0.58","buy0.58","sell0.59","buy0.59","sell0.6","buy0.6","sell0.61","buy0.61","sell0.62","buy0.62","sell0.63","buy0.63","sell0.64","buy0.64","sell0.65","buy0.65","sell0.66","buy0.66","sell0.67","buy0.67","sell0.68","buy0.68","sell0.69","buy0.69","sell0.7","buy0.7","sell0.71","buy0.71","sell0.72","buy0.72","sell0.73","buy0.73","sell0.74","buy0.74","sell0.75","buy0.75","sell0.76","buy0.76","sell0.77","buy0.77","sell0.78","buy0.78","sell0.79","buy0.79","sell0.8","buy0.8","sell0.81","buy0.81","sell0.82","buy0.82","sell0.83","buy0.83","sell0.84","buy0.84","sell0.85","buy0.85","sell0.86","buy0.86","sell0.87","buy0.87","sell0.88","buy0.88","sell0.89","buy0.89","sell0.9","buy0.9","sell0.91","buy0.91","sell0.92","buy0.92","sell0.93","buy0.93","sell0.94","buy0.94","sell0.95","buy0.95","sell0.96","buy0.96","sell0.97","buy0.97","sell0.98","buy0.98","sell0.99","buy0.99","sell1","buy1"
"Q1.2003",28481.51,117.92,26898.37,1701.06,26254.56,2344.87,25968.59,2630.84,25407.96,3191.47,25244.58,3354.85,24510.81,4088.62,24112.73,4486.7,23911.87,4687.56,23826.75,4772.68,23641.33,4958.1,23641.33,4958.1,23631.27,4968.16,23631.27,4968.16,23040.35,5559.08,22916.96,5682.47,22913.32,5686.11,22913.32,5686.11,21872.02,6727.41,21872.02,6727.41,21614.05,6985.38,21614.05,6985.38,21159.26,7440.17,21159.26,7440.17,21037.02,7562.41,21037.02,7562.41,20679.47,7919.96,20361.97,8237.46,20361.97,8237.46,20361.97,8237.46,20361.97,8237.46,20361.97,8237.46,18515.79,10083.64,18515.79,10083.64,18515.79,10083.64,18515.79,10083.64,18515.79,10083.64,18515.79,10083.64,18515.79,10083.64,18487.45,10111.98,18487.45,10111.98,15041.65,13557.78,14479.68,14119.75,14479.68,14119.75,12027.84,16571.59,12027.84,16571.59,12027.84,16571.59,12027.84,16571.59,11185.28,17414.15,11185.28,17414.15,11185.28,17414.15,11185.28,17414.15,11185.28,17414.15,11185.28,17414.15,8160.58,20438.85,25.91,28573.52,25.91,28573.52,25.91,28573.52,25.91,28573.52,25.91,28573.52,25.91,28573.52,25.91,28573.52,25.91,28573.52,25.91,28573.52,25.91,28573.52,25.91,28573.52,25.91,28573.52,25.91,28573.52,0,28599.43,0,28599.43,0,28599.43,0,28599.43,0,28599.43,0,28599.43,0,28599.43,0,28599.43,0,28599.43,0,28599.43,0,28599.43,0,28599.43,0,28599.43,0,28599.43,0,28599.43,0,28599.43,0,28599.43,0,28599.43,0,28599.43,0,28599.43,0,28599.43,0,28599.43,0,28599.43,0,28599.43,0,28599.43,0,28599.43,0,28599.43,0,28599.43,0,28599.43,0,28599.43,0,28599.43,0,28599.43
"Q2.2003",28368.56,94.9,26704.93,1758.53,26138.17,2325.29,25766.14,2697.32,25261.93,3201.53,25120.23,3343.23,23993.46,4470,23953.59,4509.87,23801.03,4662.43,23515.84,4947.62,23501.6,4961.86,23501.6,4961.86,23501.6,4961.86,23494.4,4969.06,23494.05,4969.41,23385.01,5078.45,22845.56,5617.9,22650.59,5812.87,21611.78,6851.68,21611.78,6851.68,21611.78,6851.68,21067.07,7396.39,21067.07,7396.39,20712.8,7750.66,20590.56,7872.9,20590.56,7872.9,20590.56,7872.9,20246.76,8216.7,20246.76,8216.7,20246.76,8216.7,20246.76,8216.7,18468.78,9994.68,18440.44,10023.02,18440.44,10023.02,18440.44,10023.02,18440.44,10023.02,18440.44,10023.02,18440.44,10023.02,18440.44,10023.02,18440.44,10023.02,18440.44,10023.02,18440.44,10023.02,14997.47,13465.99,14997.47,13465.99,14480.29,13983.17,12028.45,16435.01,12028.45,16435.01,11185.93,17277.53,11185.93,17277.53,11185.93,17277.53,11185.93,17277.53,11185.93,17277.53,11185.93,17277.53,8161.23,20302.23,8161.23,20302.23,8161.23,20302.23,25.91,28437.55,25.91,28437.55,25.91,28437.55,25.91,28437.55,25.91,28437.55,25.91,28437.55,25.91,28437.55,25.91,28437.55,25.91,28437.55,25.91,28437.55,25.91,28437.55,25.91,28437.55,25.91,28437.55,0,28463.46,0,28463.46,0,28463.46,0,28463.46,0,28463.46,0,28463.46,0,28463.46,0,28463.46,0,28463.46,0,28463.46,0,28463.46,0,28463.46,0,28463.46,0,28463.46,0,28463.46,0,28463.46,0,28463.46,0,28463.46,0,28463.46,0,28463.46,0,28463.46,0,28463.46,0,28463.46,0,28463.46,0,28463.46,0,28463.46,0,28463.46,0,28463.46,0,28463.46,0,28463.46,0,28463.46
"Q3.2003",28218.83,89.89,26600.03,1708.69,25997.38,2311.34,25562.94,2745.78,25107.61,3201.11,25053.49,3255.23,24782,3526.72,23836.05,4472.67,23792.96,4515.76,23634.55,4674.17,23438.06,4870.66,23353.18,4955.54,23353.18,4955.54,23299.8,5008.92,23194.48,5114.24,23187.28,5121.44,23187.28,5121.44,23174.84,5133.88,23174.84,5133.88,22785.27,5523.45,22018.39,6290.33,21495.02,6813.7,20615.33,7693.39,20507.77,7800.95,20481.47,7827.25,20481.47,7827.25,20481.47,7827.25,20481.47,7827.25,20481.47,7827.25,20481.47,7827.25,20163.97,8144.75,20163.97,8144.75,18459.38,9849.34,18459.38,9849.34,18431.04,9877.68,18431.04,9877.68,18431.04,9877.68,18431.04,9877.68,18431.04,9877.68,18431.04,9877.68,18431.04,9877.68,18431.04,9877.68,18431.04,9877.68,18431.04,9877.68,18431.04,9877.68,14991.52,13317.2,12539.68,15769.04,11702.97,16605.75,11702.97,16605.75,11185.82,17122.9,11185.82,17122.9,11185.82,17122.9,11185.82,17122.9,11185.82,17122.9,11185.82,17122.9,8161.16,20147.56,8161.16,20147.56,8161.16,20147.56,25.91,28282.81,25.91,28282.81,25.91,28282.81,25.91,28282.81,25.91,28282.81,25.91,28282.81,25.91,28282.81,25.91,28282.81,25.91,28282.81,25.91,28282.81,25.91,28282.81,25.91,28282.81,25.91,28282.81,0,28308.72,0,28308.72,0,28308.72,0,28308.72,0,28308.72,0,28308.72,0,28308.72,0,28308.72,0,28308.72,0,28308.72,0,28308.72,0,28308.72,0,28308.72,0,28308.72,0,28308.72,0,28308.72,0,28308.72,0,28308.72,0,28308.72,0,28308.72,0,28308.72,0,28308.72,0,28308.72,0,28308.72,0,28308.72,0,28308.72,0,28308.72,0,28308.72,0,28308.72
"Q4.2003",28102.05,81.33,26504.53,1678.85,25890.39,2292.99,25608.26,2575.12,24989.72,3193.66,24926.19,3257.19,24239.41,3943.97,23668.8,4514.58,23522.4,4660.98,23507.81,4675.57,23505.48,4677.9,23319.71,4863.67,23237.64,4945.74,23237.64,4945.74,23071.26,5112.12,23071.26,5112.12,23058.82,5124.56,23058.82,5124.56,23055.18,5128.2,22799.59,5383.79,22675.95,5507.43,21909.08,6274.3,21552.33,6631.05,21007.62,7175.76,20900.28,7283.1,20900.28,7283.1,20376.91,7806.47,20376.91,7806.47,20376.91,7806.47,20376.91,7806.47,20350.61,7832.77,18717.32,9466.06,18717.32,9466.06,18399.82,9783.56,18371.48,9811.9,18371.48,9811.9,18371.48,9811.9,18371.48,9811.9,18371.48,9811.9,18371.48,9811.9,18371.48,9811.9,18371.48,9811.9,18371.48,9811.9,18371.48,9811.9,18371.48,9811.9,18371.48,9811.9,18371.48,9811.9,14931.96,13251.42,14154.5,14028.88,14154.5,14028.88,14154.5,14028.88,11702.66,16480.72,11702.66,16480.72,11702.66,16480.72,11185.51,16997.87,11185.51,16997.87,11185.51,16997.87,8160.85,20022.53,8160.85,20022.53,25.91,28157.47,25.91,28157.47,25.91,28157.47,25.91,28157.47,25.91,28157.47,25.91,28157.47,25.91,28157.47,25.91,28157.47,25.91,28157.47,25.91,28157.47,25.91,28157.47,25.91,28157.47,25.91,28157.47,25.91,28157.47,0,28183.38,0,28183.38,0,28183.38,0,28183.38,0,28183.38,0,28183.38,0,28183.38,0,28183.38,0,28183.38,0,28183.38,0,28183.38,0,28183.38,0,28183.38,0,28183.38,0,28183.38,0,28183.38,0,28183.38,0,28183.38,0,28183.38,0,28183.38,0,28183.38,0,28183.38,0,28183.38,0,28183.38,0,28183.38,0,28183.38,0,28183.38
"Q1.2004",27972.84,117.15,26454.01,1635.98,25715.19,2374.8,25424.58,2665.41,24908.03,3181.96,24902.96,3187.03,24275.97,3814.02,23777.99,4312,23438.13,4651.86,23438.13,4651.86,23235.79,4854.2,23235.79,4854.2,23146.52,4943.47,23091.47,4998.52,22986.4,5103.59,22986.4,5103.59,22850.26,5239.73,22850.26,5239.73,22850.26,5239.73,22604.81,5485.18,22604.81,5485.18,22248.06,5841.93,21481.19,6608.8,21194.36,6895.63,20936.55,7153.44,20936.55,7153.44,20936.55,7153.44,20936.55,7153.44,20936.55,7153.44,20936.55,7153.44,19349.26,8740.73,19349.26,8740.73,19241.89,8848.1,18401.05,9688.94,18401.05,9688.94,18401.05,9688.94,18401.05,9688.94,18401.05,9688.94,18372.71,9717.28,18372.71,9717.28,18372.71,9717.28,18372.71,9717.28,18372.71,9717.28,18372.71,9717.28,18372.71,9717.28,18372.71,9717.28,18372.71,9717.28,14933.25,13156.74,14933.25,13156.74,14933.25,13156.74,14155.79,13934.2,14155.79,13934.2,11703.95,16386.04,11703.95,16386.04,11703.95,16386.04,11186.8,16903.19,11186.8,16903.19,11186.8,16903.19,8162.17,19927.82,25.91,28064.08,25.91,28064.08,25.91,28064.08,25.91,28064.08,25.91,28064.08,25.91,28064.08,25.91,28064.08,25.91,28064.08,25.91,28064.08,25.91,28064.08,25.91,28064.08,25.91,28064.08,25.91,28064.08,25.91,28064.08,0,28089.99,0,28089.99,0,28089.99,0,28089.99,0,28089.99,0,28089.99,0,28089.99,0,28089.99,0,28089.99,0,28089.99,0,28089.99,0,28089.99,0,28089.99,0,28089.99,0,28089.99,0,28089.99,0,28089.99,0,28089.99,0,28089.99,0,28089.99,0,28089.99,0,28089.99,0,28089.99,0,28089.99,0,28089.99,0,28089.99,0,28089.99
"Q2.2004",27895.59,117.7,26354.85,1658.44,25633.04,2380.25,24970.53,3042.76,24814.46,3198.83,24179.88,3833.41,23954.27,4059.02,23346.26,4667.03,23343.68,4669.61,23329.09,4684.2,23082.84,4930.45,23082.84,4930.45,22891.61,5121.68,22767.79,5245.5,22767.79,5245.5,22755.35,5257.94,22755.35,5257.94,22751.71,5261.58,22751.71,5261.58,22501.62,5511.67,22141.7,5871.59,21374.83,6638.46,21087.65,6925.64,20829.9,7183.39,20829.9,7183.39,20829.9,7183.39,20829.9,7183.39,20803.6,7209.69,19311.31,8701.98,19311.31,8701.98,19311.31,8701.98,19311.31,8701.98,19311.31,8701.98,18680.6,9332.69,18363.1,9650.19,18363.1,9650.19,18363.1,9650.19,18363.1,9650.19,18363.1,9650.19,18334.76,9678.53,18334.76,9678.53,18334.76,9678.53,18334.76,9678.53,18334.76,9678.53,18334.76,9678.53,18334.76,9678.53,14898.1,13115.19,14898.1,13115.19,14120.64,13892.65,11668.8,16344.49,11668.8,16344.49,11668.8,16344.49,11668.8,16344.49,11668.8,16344.49,11186.54,16826.75,8161.91,19851.38,8161.91,19851.38,8161.91,19851.38,8161.91,19851.38,25.91,27987.38,25.91,27987.38,25.91,27987.38,25.91,27987.38,25.91,27987.38,25.91,27987.38,25.91,27987.38,25.91,27987.38,25.91,27987.38,25.91,27987.38,25.91,27987.38,25.91,27987.38,25.91,27987.38,0,28013.29,0,28013.29,0,28013.29,0,28013.29,0,28013.29,0,28013.29,0,28013.29,0,28013.29,0,28013.29,0,28013.29,0,28013.29,0,28013.29,0,28013.29,0,28013.29,0,28013.29,0,28013.29,0,28013.29,0,28013.29,0,28013.29,0,28013.29,0,28013.29,0,28013.29,0,28013.29,0,28013.29,0,28013.29,0,28013.29,0,28013.29,0,28013.29
"Q3.2004",27835.97,117.1,26280.44,1672.63,25664.27,2288.8,24904.83,3048.24,24747.34,3205.73,24113.26,3839.81,24034.36,3918.71,23283.82,4669.25,23277.68,4675.39,23263.09,4689.98,22916.34,5036.73,22904.71,5048.36,22904.71,5048.36,22694.73,5258.34,22694.73,5258.34,22682.29,5270.78,22682.29,5270.78,22682.29,5270.78,22678.65,5274.42,22678.65,5274.42,22425.52,5527.55,21658.3,6294.77,21274.62,6678.45,20987.79,6965.28,20730.04,7223.03,20730.04,7223.03,20730.04,7223.03,19310.95,8642.12,19310.95,8642.12,19310.95,8642.12,19306.48,8646.59,19306.48,8646.59,19306.48,8646.59,19306.48,8646.59,19278.14,8674.93,18437.3,9515.77,18329.71,9623.36,18329.71,9623.36,18329.71,9623.36,18329.71,9623.36,18329.71,9623.36,18329.71,9623.36,18329.71,9623.36,18329.71,9623.36,18329.71,9623.36,18329.71,9623.36,18329.71,9623.36,18329.71,9623.36,14896.47,13056.6,14896.47,13056.6,14119.01,13834.06,14119.01,13834.06,14119.01,13834.06,14119.01,13834.06,11667.17,16285.9,8643.16,19309.91,8643.16,19309.91,8643.16,19309.91,8160.94,19792.13,8160.94,19792.13,25.91,27927.16,25.91,27927.16,25.91,27927.16,25.91,27927.16,25.91,27927.16,25.91,27927.16,25.91,27927.16,25.91,27927.16,25.91,27927.16,25.91,27927.16,25.91,27927.16,25.91,27927.16,25.91,27927.16,0,27953.07,0,27953.07,0,27953.07,0,27953.07,0,27953.07,0,27953.07,0,27953.07,0,27953.07,0,27953.07,0,27953.07,0,27953.07,0,27953.07,0,27953.07,0,27953.07,0,27953.07,0,27953.07,0,27953.07,0,27953.07,0,27953.07,0,27953.07,0,27953.07,0,27953.07,0,27953.07,0,27953.07,0,27953.07,0,27953.07,0,27953.07
"Q4.2004",27665.57,117.7,26105.12,1678.15,25404.68,2378.59,24699.41,3083.86,24175.17,3608.1,23904.83,3878.44,23645.53,4137.74,23180.72,4602.55,23051.22,4732.05,22930.84,4852.43,22739.2,5044.07,22536.32,5246.95,22526.01,5257.26,22526.01,5257.26,22526.01,5257.26,22513.57,5269.7,22513.57,5269.7,22513.57,5269.7,22509.93,5273.34,22288.51,5494.76,22288.51,5494.76,21931.13,5852.14,21164.26,6619.01,21164.26,6619.01,21164.26,6619.01,19239.09,8544.18,19239.09,8544.18,19239.09,8544.18,19239.09,8544.18,19239.09,8544.18,19239.09,8544.18,19210.75,8572.52,19210.75,8572.52,19210.75,8572.52,19210.75,8572.52,18903.26,8880.01,18903.26,8880.01,18379.92,9403.35,18379.92,9403.35,18379.92,9403.35,18379.92,9403.35,18379.92,9403.35,18379.92,9403.35,18379.92,9403.35,18379.92,9403.35,18379.92,9403.35,18379.92,9403.35,18379.92,9403.35,18379.92,9403.35,14946.68,12836.59,14169.22,13614.05,14169.22,13614.05,14169.22,13614.05,14169.22,13614.05,11183.93,16599.34,8162.09,19621.18,8162.09,19621.18,8162.09,19621.18,8162.09,19621.18,25.91,27757.36,25.91,27757.36,25.91,27757.36,25.91,27757.36,25.91,27757.36,25.91,27757.36,25.91,27757.36,0,27783.27,0,27783.27,0,27783.27,0,27783.27,0,27783.27,0,27783.27,0,27783.27,0,27783.27,0,27783.27,0,27783.27,0,27783.27,0,27783.27,0,27783.27,0,27783.27,0,27783.27,0,27783.27,0,27783.27,0,27783.27,0,27783.27,0,27783.27,0,27783.27,0,27783.27,0,27783.27,0,27783.27,0,27783.27,0,27783.27,0,27783.27,0,27783.27,0,27783.27,0,27783.27,0,27783.27,0,27783.27,0,27783.27,0,27783.27
"Q1.2005",27477.98,116.72,25758.41,1836.29,25038.07,2556.63,23861.41,3733.29,23859.45,3735.25,23538.82,4055.88,23004.61,4590.09,22930.6,4664.1,22744.5,4850.2,22571.86,5022.84,22442.5,5152.2,22356.34,5238.36,22356.34,5238.36,22356.34,5238.36,22356.34,5238.36,22343.9,5250.8,22147.57,5447.13,22147.57,5447.13,22147.57,5447.13,21790.19,5804.51,21786.71,5807.99,21786.71,5807.99,21015.31,6579.39,21015.31,6579.39,19725.22,7869.48,19725.22,7869.48,19441.17,8153.53,19441.17,8153.53,19154.34,8440.36,19154.34,8440.36,19154.34,8440.36,19154.34,8440.36,19154.34,8440.36,19126,8468.7,18818.51,8776.19,18818.51,8776.19,18818.51,8776.19,18818.51,8776.19,18818.51,8776.19,18818.51,8776.19,18818.51,8776.19,18295.17,9299.53,18295.17,9299.53,18295.17,9299.53,18295.17,9299.53,18295.17,9299.53,18295.17,9299.53,18295.17,9299.53,17572.74,10021.96,14139.5,13455.2,14139.5,13455.2,14139.5,13455.2,14139.5,13455.2,14139.5,13455.2,11181.33,16413.37,8729.49,18865.21,8729.49,18865.21,8729.49,18865.21,8267.2,19327.5,8267.2,19327.5,8267.2,19327.5,8267.2,19327.5,133.68,27461.02,133.68,27461.02,25.91,27568.79,25.91,27568.79,0,27594.7,0,27594.7,0,27594.7,0,27594.7,0,27594.7,0,27594.7,0,27594.7,0,27594.7,0,27594.7,0,27594.7,0,27594.7,0,27594.7,0,27594.7,0,27594.7,0,27594.7,0,27594.7,0,27594.7,0,27594.7,0,27594.7,0,27594.7,0,27594.7,0,27594.7,0,27594.7,0,27594.7,0,27594.7,0,27594.7,0,27594.7,0,27594.7,0,27594.7,0,27594.7,0,27594.7,0,27594.7,0,27594.7,0,27594.7
"Q2.2005",27304.44,126.51,25615.33,1815.62,24909.77,2521.18,23687.68,3743.27,23504.34,3926.61,23414.22,4016.73,23168.72,4262.23,22755.55,4675.4,22634.86,4796.09,22510.91,4920.04,22278.31,5152.64,22196.24,5234.71,22189.04,5241.91,22189.04,5241.91,22004.21,5426.74,21991.77,5439.18,21991.77,5439.18,21634.39,5796.56,21634.39,5796.56,21634.39,5796.56,21634.39,5796.56,20909.99,6520.96,20909.99,6520.96,20883.69,6547.26,20879.33,6551.62,20879.33,6551.62,20879.33,6551.62,20592.5,6838.45,20334.81,7096.14,20334.81,7096.14,20306.47,7124.48,20306.47,7124.48,20306.47,7124.48,19016.38,8414.57,19016.38,8414.57,19016.38,8414.57,19016.38,8414.57,18708.89,8722.06,18708.89,8722.06,18708.89,8722.06,18708.89,8722.06,18708.89,8722.06,18205.55,9225.4,18205.55,9225.4,18205.55,9225.4,18205.55,9225.4,18205.55,9225.4,18205.55,9225.4,18205.55,9225.4,17483.12,9947.83,14054.86,13376.09,14054.86,13376.09,14054.86,13376.09,14054.86,13376.09,13617.64,13813.31,10719.04,16711.91,8267.2,19163.75,8267.2,19163.75,8267.2,19163.75,8267.2,19163.75,8267.2,19163.75,8267.2,19163.75,8267.2,19163.75,133.71,27297.24,133.71,27297.24,133.71,27297.24,107.8,27323.15,107.8,27323.15,107.8,27323.15,0,27430.95,0,27430.95,0,27430.95,0,27430.95,0,27430.95,0,27430.95,0,27430.95,0,27430.95,0,27430.95,0,27430.95,0,27430.95,0,27430.95,0,27430.95,0,27430.95,0,27430.95,0,27430.95,0,27430.95,0,27430.95,0,27430.95,0,27430.95,0,27430.95,0,27430.95,0,27430.95,0,27430.95,0,27430.95,0,27430.95,0,27430.95,0,27430.95,0,27430.95,0,27430.95,0,27430.95
